,line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\usepackage
5,7,\usepackage
6,8,\usepackage
7,9,\usepackage
8,10,\usepackage
9,12,\hypersetup
10,19,\usepackage
11,20,\usetikzlibrary
12,22,\tikzstyle
13,29,\usepackage
14,30,\usepackage
15,31,\usepackage
16,32,\usepackage
17,34,\setlength
18,34,\textwidth
19,34,\paperwidth
20,35,\addtolength
21,35,\textwidth
22,36,\calclayout
23,38,\usetikzlibrary
24,39,\tikzstyle
25,41,\newcommand
26,41,\Pic
27,41,\operatorname
28,42,\newcommand
29,42,\ex
30,42,\operatorname
31,43,\newcommand
32,43,\id
33,43,\operatorname
34,44,\newcommand
35,44,\loc
36,44,\operatorname
37,45,\newcommand
38,45,\Div
39,45,\operatorname
40,46,\newcommand
41,46,\vdim
42,46,\operatorname
43,47,\newcommand
44,47,\ldim
45,47,\operatorname
46,48,\newcommand
47,48,\edim
48,48,\operatorname
49,49,\newcommand
50,49,\efdim
51,49,\operatorname
52,50,\newcommand
53,50,\codim
54,50,\operatorname
55,51,\newcommand
56,51,\fdim
57,51,\operatorname
58,52,\newcommand
59,52,\mult
60,52,\operatorname
61,53,\newcommand
62,53,\mdeg
63,53,\operatorname
64,54,\newcommand
65,54,\rank
66,54,\operatorname
67,55,\newcommand
68,55,\cols
69,55,\operatorname
70,56,\newcommand
71,56,\rows
72,56,\operatorname
73,57,\newcommand
74,57,\supp
75,57,\operatorname
76,58,\newcommand
77,58,\NSsplit
78,58,\operatorname
79,59,\newcommand
80,59,\diag
81,59,\operatorname
82,60,\newcommand
83,60,\std
84,60,\operatorname
85,61,\newcommand
86,61,\cat
87,61,\operatorname
88,62,\newcommand
89,62,\seep
90,62,\operatorname
91,63,\newcommand
92,63,\stdd
93,63,\operatorname
94,64,\newcommand
95,64,\TV
96,64,\operatorname
97,65,\newcommand
98,65,\tail
99,65,\operatorname
100,66,\newcommand
101,66,\Spec
102,66,\operatorname
103,67,\newcommand
104,67,\lin
105,67,\operatorname
106,68,\newcommand
107,68,\Hom
108,68,\operatorname
109,69,\newcommand
110,69,\pt
111,69,\operatorname
112,70,\newcommand
113,70,\Tr
114,70,\operatorname
115,71,\newcommand
116,71,\relint
117,71,\operatorname
118,72,\newcommand
119,72,\an
120,72,\operatorname
121,73,\newcommand
122,73,\alg
123,73,\operatorname
124,74,\newcommand
125,74,\et
126,74,\operatorname
127,75,\newcommand
128,75,\divv
129,75,\operatorname
130,76,\newcommand
131,76,\CDiv
132,76,\operatorname
133,77,\newcommand
134,77,\coker
135,77,\operatorname
136,78,\newcommand
137,78,\Pol
138,78,\operatorname
139,79,\newcommand
140,79,\CaDiv
141,79,\operatorname
142,80,\newcommand
143,80,\orb
144,80,\operatorname
145,81,\newcommand
146,81,\Con
147,81,\operatorname
148,82,\newcommand
149,82,\ddivv
150,82,\operatorname
151,83,\newcommand
152,83,\ord
153,83,\operatorname
154,84,\newcommand
155,84,\tai
156,84,\operatorname
157,85,\newcommand
158,85,\Cox
159,85,\operatorname
160,86,\newcommand
161,86,\triv
162,86,\operatorname
163,87,\newcommand
164,87,\lcm
165,87,\operatorname
166,88,\newcommand
167,88,\Chow
168,88,\operatorname
169,89,\newcommand
170,89,\Ch
171,89,\operatorname
172,90,\newcommand
173,90,\vol
174,90,\operatorname
175,91,\newcommand
176,91,\Ii
177,91,\mathcal
178,93,\newcommand
179,93,\mcp
180,93,\mathcal
181,94,\newcommand
182,94,\ccc
183,94,\mathcal
184,95,\newcommand
185,95,\mci
186,95,\mathcal
187,96,\newcommand
188,96,\pp
189,96,\mathbb
190,97,\newcommand
191,97,\pn
192,97,\mathbb
193,98,\renewcommand
194,98,\qq
195,98,\mathbb
196,99,\newcommand
197,99,\zz
198,99,\mathbb
199,100,\newcommand
200,100,\nn
201,100,\mathbb
202,101,\newcommand
203,101,\rr
204,101,\mathbb
205,102,\newcommand
206,102,\cc
207,102,\mathbb
208,103,\newcommand
209,103,\kk
210,103,\mathbb
211,104,\newcommand
212,104,\ls
213,104,\mathcal
214,106,\def
215,106,\O
216,106,\mathcal
217,107,\def
218,107,\pr
219,107,\mathbb
220,108,\def
221,108,\af
222,108,\mathbb
223,109,\def
224,109,\ses
225,109,\to
226,109,\to
227,109,\to
228,109,\to
229,110,\def
230,110,\xrar
231,110,\xrightarrow
232,111,\def
233,111,\K
234,112,\def
235,112,\bA
236,112,\mathbf
237,113,\def
238,113,\bM
239,113,\mathbf
240,114,\def
241,114,\bL
242,114,\mathbf
243,115,\def
244,115,\bB
245,115,\mathbf
246,116,\def
247,116,\bK
248,116,\mathbf
249,117,\def
250,117,\subs
251,118,\def
252,118,\sups
253,120,\DeclareMathOperator
254,120,\coeff
255,122,\DeclareMathOperator
256,122,\Supp
257,124,\DeclareMathOperator
258,124,\mld
259,125,\DeclareMathOperator
260,125,\gmld
261,126,\DeclareMathOperator
262,126,\lct
263,127,\DeclareMathOperator
264,127,\glct
265,128,\DeclareMathOperator
266,128,\elct
267,128,\epsilon
268,129,\DeclareMathOperator
269,129,\eglct
270,129,\epsilon
271,132,\newcommand
272,132,\rar
273,132,\rightarrow
274,133,\newcommand
275,133,\drar
276,133,\dashrightarrow
277,135,\usepackage
278,136,\usetikzlibrary
279,139,\newtheorem
280,140,\newtheorem
281,142,\newtheorem
282,143,\newtheorem
283,144,\newtheorem
284,145,\newtheorem
285,146,\newtheorem
286,147,\newtheorem
287,148,\newtheorem
288,149,\newtheorem
289,150,\newtheorem
290,151,\newtheorem
291,152,\newtheorem
292,153,\newtheorem
293,154,\newtheorem
294,157,\newtheorem
295,158,\newtheorem
296,159,\newtheorem
297,160,\newtheorem
298,161,\newtheorem
299,162,\newtheorem
300,163,\newtheorem
301,164,\newtheorem
302,165,\newtheorem
303,167,\newtheorem
304,169,\theoremstyle
305,170,\newtheorem
306,172,\numberwithin
307,174,\newcommand
308,174,\ant
309,174,\todo
310,177,document
311,179,\title
312,181,\author
313,182,\address
314,184,\email
315,186,\subjclass
316,188,\maketitle
317,190,abstract
318,198,\mathbb
319,205,\setcounter
320,206,\tableofcontents
321,208,\section
322,218,\cites
323,221,\cite
324,222,\cites
325,223,\cites
326,224,\cite
327,226,\cites
328,234,\cite
329,239,\ref
330,240,\cite
331,241,\in
332,241,\Delta
333,241,\zz_N
334,241,\leqslant
335,241,\pi_1
336,241,\rm
337,241,\Delta
338,248,\cite
339,252,introthm
340,255,\in
341,255,\Delta
342,256,\zz
343,256,\leqslant
344,256,\pi_1
345,256,\rm
346,256,\Delta
347,256,\geq
348,257,\Delta
349,258,\in
350,258,\Delta
351,264,\cite
352,266,\ref
353,267,\zz
354,268,\ref
355,269,\ref
356,270,\ref
357,271,\ref
358,271,\ref
359,272,\cites
360,274,introrem
361,277,\cite
362,278,\cite
363,279,\cite
364,279,\cite
365,285,\subsection
366,288,introthm
367,293,\simeq
368,293,\zz_k
369,293,\leqslant
370,293,\rm
371,293,\geq
372,295,enumerate
373,296,\item
374,297,\item
375,298,\dashrightarrow
376,301,enumerate
377,302,\item
378,302,\sim
379,303,\item
380,304,\item
381,305,\item
382,306,\mathbb
383,306,\leqslant
384,306,\rm
385,310,\dashrightarrow
386,310,\mathbb
387,313,\ref
388,313,\cites
389,314,\cite
390,315,\cites
391,316,\cite
392,317,\ref
393,318,\ref
394,319,\ref
395,321,introdef
396,322,\em
397,322,\em
398,324,\pp
399,324,\dots
400,325,\ref
