,Line num,Command
0,3,\documentclass
1,6,\usepackage
2,8,\usepackage
3,11,\usepackage
4,13,\usepackage
5,15,\usepackage
6,17,\usepackage
7,19,\usepackage
8,21,\usepackage
9,23,\usepackage
10,25,\usepackage
11,27,\usepackage
12,29,\usepackage
13,31,\usepackage
14,33,\usepackage
15,35,\usepackage
16,37,\usepackage
17,39,\usepackage
18,41,\usepackage
19,43,\usepackage
20,45,\usepackage
21,47,\usepackage
22,49,\usepackage
23,51,\usepackage
24,57,\usepackage
25,59,\usetikzlibrary
26,70,\pagestyle
27,71,\lhead
28,72,\rhead
29,73,\chead
30,74,\lfoot
31,75,\rfoot
32,76,\renewcommand
33,76,\headrulewidth
34,78,\pagenumbering
35,82,\definecolor
36,85,\renewcommand
37,85,\labelenumi
38,85,\theenumi
39,88,\theoremstyle
40,90,\theoremstyle
41,93,\newtheorem
42,95,\newtheorem
43,99,\newtheorem
44,101,\newtheorem
45,104,\newtheorem
46,106,\newtheorem
47,108,\newtheorem
48,110,\newtheorem
49,113,\newtheorem
50,115,\newcounter
51,116,\newtheorem
52,117,\newtheorem
53,118,\newtheorem
54,119,\newtheorem
55,120,\newtheorem
56,121,\newtheorem
57,122,\newtheorem
58,123,\newtheorem
59,124,\newtheorem
60,125,\newtheorem
61,128,\newcounter
62,129,\newtheorem
63,130,\newtheorem
64,133,\newcounter
65,134,\newtheorem
66,136,\newcounter
67,137,\newtheorem
68,138,\newtheorem
69,139,\newtheorem
70,142,\newcounter
71,143,\newtheorem
72,145,\newcounter
73,146,\newtheorem
74,148,\newcounter
75,149,\newtheorem
76,152,\newcounter
77,153,\newtheorem
78,155,\newtheorem
79,157,\newtheorem
80,159,\newtheorem
81,161,\newtheorem
82,163,\newtheorem
83,165,\newtheorem
84,167,\newtheorem
85,169,\newtheorem
86,171,\newtheorem
87,173,\newtheorem
88,175,\newtheorem
89,177,\newcommand
90,177,\rungs
91,177,\ensuremath
92,177,\overline
93,177,\underline
94,177,\cH
95,178,\newcommand
96,178,\A
97,178,\ensuremath
98,178,\alpha
99,179,\newcommand
100,179,\Z
101,179,\ensuremath
102,180,\newcommand
103,180,\K
104,180,\ensuremath
105,181,\newcommand
106,181,\B
107,181,\ensuremath
108,181,\beta
109,182,\newcommand
110,182,\si
111,182,\ensuremath
112,183,\newcommand
113,183,\E
114,183,\ensuremath
115,183,\varepsilon
116,184,\newcommand
117,184,\W
118,184,\ensuremath
119,185,\newcommand
120,185,\WW
121,185,\ensuremath
122,186,\newcommand
123,186,\La
124,186,\ensuremath
125,187,\newcommand
126,187,\LA
127,187,\ensuremath
128,188,\newcommand
129,188,\G
130,188,\ensuremath
131,189,\newcommand
132,189,\D
133,189,\ensuremath
134,190,\newcommand
135,190,\GG
136,190,\ensuremath
137,191,\newcommand
138,191,\RR
139,191,\ensuremath
140,191,\mathbb
141,192,\newcommand
142,192,\MM
143,192,\ensuremath
144,192,\mathbb
145,193,\newcommand
146,193,\II
147,193,\ensuremath
148,193,\mathbb
149,194,\newcommand
150,194,\KK
151,194,\ensuremath
152,194,\mathbb
153,195,\newcommand
154,195,\JJ
155,195,\ensuremath
156,195,\mathbb
157,196,\newcommand
158,196,\LL
159,196,\ensuremath
160,196,\mathbb
161,197,\newcommand
162,197,\BB
163,197,\ensuremath
164,197,\mathbb
165,198,\newcommand
166,198,\AAA
167,198,\ensuremath
168,198,\mathbb
169,199,\newcommand
170,199,\QQ
171,199,\ensuremath
172,199,\mathbb
173,200,\newcommand
174,200,\bW
175,200,\ensuremath
176,200,\mathbb
177,201,\newcommand
178,201,\z
179,201,\ensuremath
180,201,\boldsymbol
181,202,\newcommand
182,202,\NN
183,202,\ensuremath
184,202,\mathbb
185,203,\newcommand
186,203,\HH
187,203,\ensuremath
188,203,\mathbb
189,204,\newcommand
190,204,\0
191,204,\ensuremath
192,204,\varnothing
193,205,\newcommand
194,205,\cT
195,205,\ensuremath
196,205,\mathcal
197,206,\newcommand
198,206,\cG
199,206,\ensuremath
200,206,\mathcal
201,207,\newcommand
202,207,\cL
203,207,\ensuremath
204,207,\mathcal
205,208,\newcommand
206,208,\sL
207,208,\ensuremath
208,208,\mathscr
209,209,\newcommand
210,209,\cD
211,209,\ensuremath
212,209,\mathcal
213,210,\newcommand
214,210,\cR
215,210,\ensuremath
216,210,\mathcal
217,211,\newcommand
218,211,\cA
219,211,\ensuremath
220,211,\mathcal
221,212,\newcommand
222,212,\cH
223,212,\ensuremath
224,212,\mathcal
225,213,\newcommand
226,213,\cS
227,213,\ensuremath
228,213,\mathcal
229,214,\newcommand
230,214,\cQ
231,214,\ensuremath
232,214,\mathcal
233,215,\newcommand
234,215,\cK
235,215,\ensuremath
236,215,\mathcal
237,216,\newcommand
238,216,\cB
239,216,\ensuremath
240,216,\mathcal
241,217,\newcommand
242,217,\cF
243,217,\ensuremath
244,217,\mathcal
245,218,\newcommand
246,218,\cP
247,218,\ensuremath
248,218,\mathcal
249,219,\newcommand
250,219,\sA
251,219,\ensuremath
252,219,\mathscr
253,220,\newcommand
254,220,\sV
255,220,\ensuremath
256,220,\mathscr
257,221,\newcommand
258,221,\sB
259,221,\ensuremath
260,221,\mathscr
261,222,\newcommand
262,222,\cC
263,222,\ensuremath
264,222,\mathcal
265,223,\newcommand
266,223,\sC
267,223,\ensuremath
268,223,\mathscr
269,224,\newcommand
270,224,\sD
271,224,\ensuremath
272,224,\mathscr
273,225,\newcommand
274,225,\sS
275,225,\ensuremath
276,225,\mathscr
277,226,\newcommand
278,226,\sP
279,226,\ensuremath
280,226,\mathscr
281,227,\newcommand
282,227,\sE
283,227,\ensuremath
284,227,\mathscr
285,228,\newcommand
286,228,\cE
287,228,\ensuremath
288,228,\mathcal
289,229,\newcommand
290,229,\cI
291,229,\ensuremath
292,229,\mathcal
293,230,\newcommand
294,230,\sI
295,230,\ensuremath
296,230,\mathscr
297,231,\newcommand
298,231,\cJ
299,231,\ensuremath
300,231,\mathcal
301,232,\newcommand
302,232,\sU
303,232,\ensuremath
304,232,\mathscr
305,233,\newcommand
306,233,\cU
307,233,\ensuremath
308,233,\mathcal
309,234,\newcommand
310,234,\cW
311,234,\ensuremath
312,234,\mathcal
313,235,\newcommand
314,235,\cV
315,235,\ensuremath
316,235,\mathcal
317,236,\newcommand
318,236,\cN
319,236,\ensuremath
320,236,\mathcal
321,237,\newcommand
322,237,\cM
323,237,\ensuremath
324,237,\mathcal
325,238,\newcommand
326,238,\DD
327,238,\ensuremath
328,238,\partial
329,239,\newcommand
330,239,\All
331,239,\ensuremath
332,239,\forall
333,240,\newcommand
334,240,\Ex
335,240,\ensuremath
336,240,\exists
337,241,\newcommand
338,241,\cl
339,241,\ensuremath
340,241,\colon
341,242,\newcommand
342,242,\ra
343,242,\ensuremath
344,242,\rangle
345,243,\newcommand
346,243,\la
347,243,\ensuremath
348,243,\langle
349,244,\newcommand
350,244,\xx
351,244,\ensuremath
352,244,\tilde
353,245,\newcommand
354,245,\yy
355,245,\ensuremath
356,245,\tilde
357,246,\newcommand
358,246,\nd
359,246,\ensuremath
360,246,\wedge
361,247,\newcommand
362,247,\cn
