,Line num,Command,Notes
0,1,\documentclass,article
1,2,\usepackage,amsmath
2,3,\usepackage,amssymb
3,4,\usepackage,amsthm
4,5,\usepackage,dsfont
5,6,\usepackage,mathrsfs
6,7,\usepackage,stmaryrd
7,8,\usepackage,xy
8,9,\usepackage,eucal
9,10,\usepackage,verbatim
10,11,\usepackage,fullpage
11,12,\usepackage,hyperref
12,13,\usepackage,enumerate
13,14,\usepackage,graphicx
14,15,\usepackage,float
15,16,\usepackage,tikz
16,17,\usetikzlibrary,cd
17,18,\usetikzlibrary,decorations.markings
18,19,\usepackage,physics
19,20,\usepackage,biblatex
20,21,\addbibresource,references.bib
21,22,\usepackage,breakurl
22,23,\clubpenalty,N/A
23,24,\widowpenalty,N/A
24,25,\newcommand,\bA -> \mathbf{A}
25,26,\newcommand,\bB -> \mathbf{B}
26,27,\newcommand,\bC -> \mathbf{C}
27,28,\newcommand,\bD -> \mathbf{D}
28,29,\newcommand,\bE -> \mathbf{E}
29,30,\newcommand,\bF -> \mathbf{F}
30,31,\newcommand,\bG -> \mathbf{G}
31,32,\newcommand,\bH -> \mathbf{H}
32,33,\newcommand,\bI -> \mathbf{I}
33,34,\newcommand,\bJ -> \mathbf{J}
34,35,\newcommand,\bK -> \mathbf{K}
35,36,\newcommand,\bL -> \mathbf{L}
36,37,\newcommand,\bM -> \mathbf{M}
37,38,\newcommand,\bN -> \mathbf{N}
38,39,\newcommand,\bO -> \mathbf{O}
39,40,\newcommand,\bP -> \mathbf{P}
40,41,\newcommand,\bQ -> \mathbf{Q}
41,42,\newcommand,\bR -> \mathbf{R}
42,43,\newcommand,\bS -> \mathbf{S}
43,44,\newcommand,\bT -> \mathbf{T}
44,45,\newcommand,\bU -> \mathbf{U}
45,46,\newcommand,\bV -> \mathbf{V}
46,47,\newcommand,\bW -> \mathbf{W}
47,48,\newcommand,\bX -> \mathbf{X}
48,49,\newcommand,\bY -> \mathbf{Y}
49,50,\newcommand,\bZ -> \mathbf{Z}
50,51,\newcommand,\bbA -> \mathbb{A}
51,52,\newcommand,\bbB -> \mathbb{B}
52,53,\newcommand,\bbC -> \mathbb{C}
53,54,\newcommand,\bbD -> \mathbb{D}
54,55,\newcommand,\bbE -> \mathbb{E}
55,56,\newcommand,\bbF -> \mathbb{F}
56,57,\newcommand,\bbG -> \mathbb{G}
57,58,\newcommand,\bbH -> \mathbb{H}
58,59,\newcommand,\bbI -> \mathbb{I}
59,60,\newcommand,\bbJ -> \mathbb{J}
60,61,\newcommand,\bbK -> \mathbb{K}
61,62,\newcommand,\bbL -> \mathbb{L}
62,63,\newcommand,\bbM -> \mathbb{M}
63,64,\newcommand,\bbN -> \mathbb{N}
64,65,\newcommand,\bbO -> \mathbb{O}
65,66,\newcommand,\bbP -> \mathbb{P}
66,67,\newcommand,\bbQ -> \mathbb{Q}
67,68,\newcommand,\bbR -> \mathbb{R}
68,69,\newcommand,\bbS -> \mathbb{S}
69,70,\newcommand,\bbT -> \mathbb{T}
70,71,\newcommand,\bbU -> \mathbb{U}
71,72,\newcommand,\bbV -> \mathbb{V}
72,73,\newcommand,\bbW -> \mathbb{W}
73,74,\newcommand,\bbX -> \mathbb{X}
74,75,\newcommand,\bbY -> \mathbb{Y}
75,76,\newcommand,\bbZ -> \mathbb{Z}
76,77,\newcommand,\sA -> \mathscr{A}
77,78,\newcommand,\sB -> \mathscr{B}
78,79,\newcommand,\sC -> \mathscr{C}
79,80,\newcommand,\sD -> \mathscr{D}
80,81,\newcommand,\sE -> \mathscr{E}
81,82,\newcommand,\sF -> \mathscr{F}
82,83,\newcommand,\sG -> \mathscr{G}
83,84,\newcommand,\sH -> \mathscr{H}
84,85,\newcommand,\sI -> \mathscr{I}
85,86,\newcommand,\sJ -> \mathscr{J}
86,87,\newcommand,\sK -> \mathscr{K}
87,88,\newcommand,\sL -> \mathscr{L}
88,89,\newcommand,\sM -> \mathscr{M}
89,90,\newcommand,\sN -> \mathscr{N}
90,91,\newcommand,\sO -> \mathscr{O}
91,92,\newcommand,\sP -> \mathscr{P}
92,93,\newcommand,\sQ -> \mathscr{Q}
93,94,\newcommand,\sR -> \mathscr{R}
94,95,\newcommand,\sS -> \mathscr{S}
95,96,\newcommand,\sT -> \mathscr{T}
96,97,\newcommand,\sU -> \mathscr{U}
97,98,\newcommand,\sV -> \mathscr{V}
98,99,\newcommand,\sW -> \mathscr{W}
99,100,\newcommand,\sX -> \mathscr{X}
100,101,\newcommand,\sY -> \mathscr{Y}
101,102,\newcommand,\sZ -> \mathscr{Z}
102,103,\newcommand,\bx -> \mathbf{x}
103,104,\newcommand,\by -> \mathbf{y}
104,105,\newcommand,\bz -> \mathbf{z}
105,106,\newcommand,\ba -> \mathbf{a}
106,107,\newcommand,\bb -> \mathbf{b}
107,108,\newcommand,\bc -> \mathbf{c}
108,109,\newcommand,\bd -> \mathbf{d}
109,110,\newcommand,\be -> \mathbf{e}
110,111,\newcommand,\bv -> \mathbf{v}
111,112,\newcommand,\zero -> \mathbf{0}
112,113,\newcommand,\bw -> \mathbf{w}
113,114,\newcommand,\bu -> \mathbf{u}
114,115,\newcommand,\bg -> \mathbf{g}
115,116,\renewcommand,N/A
116,116,\varphi,N/A
117,117,\providecommand,N/A
118,117,\abs,N/A
119,117,\lvert,N/A
120,117,\rvert,N/A
121,118,\providecommand,N/A
122,118,\norm,N/A
123,118,\lVert,N/A
124,118,\rVert,N/A
125,119,\providecommand,N/A
126,119,\x,N/A
127,119,\times,N/A
128,120,\providecommand,N/A
129,120,\ar,N/A
130,120,\rightarrow,N/A
131,121,\providecommand,N/A
132,121,\arr,N/A
133,121,\longrightarrow,N/A
134,122,\newcommand,\supp -> \text{supp }
135,123,\providecommand,N/A
136,123,\sgn,N/A
137,123,\text,N/A
138,124,\providecommand,N/A
139,124,\bd,N/A
140,124,\partial,N/A
141,125,\DeclareMathOperator,N/A
142,125,\SO,N/A
143,126,\DeclareMathOperator,N/A
144,126,\im,N/A
145,127,\DeclareMathOperator,N/A
146,127,\Hom,N/A
147,128,\DeclareMathOperator,N/A
148,128,\Ext,N/A
149,129,\newtheorem,N/A
150,130,\newtheorem,N/A
151,131,\newtheorem,N/A
152,132,\newtheorem,N/A
153,133,\newtheorem,N/A
154,134,\theoremstyle,definition
155,135,\newtheorem,N/A
156,136,\newtheorem,N/A
157,137,\newtheorem,N/A
158,138,\newtheorem,N/A
159,139,\newtheorem,N/A
160,140,\numberwithin,N/A
161,141,\renewcommand,\thesection.\arabic{subsection
162,141,\thesubsection,\thesection.\arabic{subsection
163,141,\thesection,\thesection.\arabic{subsection
164,141,\arabic,\thesection.\arabic{subsection
165,142,\renewcommand,N/A
166,142,\tilde,N/A
167,142,\widetilde,N/A
168,143,\renewcommand,N/A
169,143,\sqcup,N/A
170,143,\coprod,N/A
171,144,\DeclareMathOperator,N/A
172,144,\cok,N/A
173,145,\DeclareMathOperator,N/A
174,145,\id,N/A
175,146,\DeclareMathOperator,N/A
176,146,\pr,N/A
177,147,\newcommand,\set -> \left\lbrace #1 \right\rbrace
178,148,\newcommand,\st -> \ |\ 
179,149,\newcommand,\Hskip -> \vspace{0.7in}
180,150,\newcommand,"\Alt -> \, \text{Alt}"
181,151,\newcommand,\weakarrow -> \rightharpoonup
182,152,\newcommand,\weakstararrow -> \overset{\ast -> \rightharpoonup}
183,153,\newcommand,\conv -> \text{conv}
184,154,\DeclareMathOperator,N/A
185,154,\ord,N/A
186,155,\newcommand,\legendre -> \genfrac{( -> ) ->  ->  -> #1 -> #2}
187,156,\DeclareMathOperator,N/A
188,156,\Aut,N/A
189,157,\DeclareMathOperator,N/A
190,157,\SL,N/A
191,158,\newcommand,\Addresses
192,159,\footnotesize,N/A
193,160,\noindent,"Department of Mathematics, University of Chicago, Chicago, IL 60637"
194,160,\textsc,"Department of Mathematics, University of Chicago, Chicago, IL 60637"
195,160,\par,"Department of Mathematics, University of Chicago, Chicago, IL 60637"
196,160,\nopagebreak,"Department of Mathematics, University of Chicago, Chicago, IL 60637"
197,161,\textit,N/A
198,161,\texttt,N/A
199,162,\medskip,N/A
200,163,\noindent,"Department of Mathematics, Massachusetts Institute of Technology, Cambridge, MA 02139"
