,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,lmodern
2,3,\usepackage,inputenc
3,4,\usepackage,fontenc
4,5,\usepackage,babel
5,6,\usepackage,amsfonts
6,7,\usepackage,amssymb
7,8,\usepackage,amscd
8,9,\usepackage,amsthm
9,10,\usepackage,a4wide
10,11,\usepackage,mathrsfs
11,12,\usepackage,amsmath
12,13,\usepackage,amssymb
13,14,\usepackage,amsthm
14,15,\usepackage,textcomp
15,16,\usepackage,graphicx
16,17,\usepackage,enumerate
17,18,\usepackage,mathrsfs
18,19,\usepackage,frcursive
19,20,\usepackage,tikz
20,21,\usepackage,aeguill
21,22,\usepackage,xspace
22,23,\usepackage,hyperref
23,24,\usepackage,appendix
24,25,\usepackage,esint
25,26,\usepackage,cancel
26,27,\usepackage,calc
27,28,\usepackage,todonotes
28,29,\newtheorem,N/A
29,30,\newtheorem,N/A
30,31,\newtheorem,N/A
31,32,\newtheorem,N/A
32,33,\newtheorem,N/A
33,34,\newtheorem,N/A
34,35,\newtheorem,N/A
35,36,\newtheorem,N/A
36,37,\newtheorem,N/A
37,38,\newtheorem,N/A
38,39,\newtheorem,N/A
39,40,\def,\mathbb{R
40,40,\RR,\mathbb{R
41,40,\mathbb,\mathbb{R
42,41,\def,\mathop{\rm Ric
43,41,\Ric,\mathop{\rm Ric
44,41,\mathop,\mathop{\rm Ric
45,41,\rm,\mathop{\rm Ric
46,41,\nolimits,\mathop{\rm Ric
47,42,\def,\mathop{\rm Hess
48,42,\Hess,\mathop{\rm Hess
49,42,\mathop,\mathop{\rm Hess
50,42,\rm,\mathop{\rm Hess
51,42,\nolimits,\mathop{\rm Hess
52,43,\def,\mathop{\rm Rm
53,43,\Rm,\mathop{\rm Rm
54,43,\mathop,\mathop{\rm Rm
55,43,\rm,\mathop{\rm Rm
56,43,\nolimits,\mathop{\rm Rm
57,44,\def,\mathop{\rm tr
58,44,\tr,\mathop{\rm tr
59,44,\mathop,\mathop{\rm tr
60,44,\rm,\mathop{\rm tr
61,44,\nolimits,\mathop{\rm tr
62,45,\def,\mathop{\rm det
63,45,\det,\mathop{\rm det
64,45,\mathop,\mathop{\rm det
65,45,\rm,\mathop{\rm det
66,45,\nolimits,\mathop{\rm det
67,46,\def,\mathop{\rm trace
68,46,\trace,\mathop{\rm trace
69,46,\mathop,\mathop{\rm trace
70,46,\rm,\mathop{\rm trace
71,46,\nolimits,\mathop{\rm trace
72,47,\def,\mathop{\rm diam
73,47,\diam,\mathop{\rm diam
74,47,\mathop,\mathop{\rm diam
75,47,\rm,\mathop{\rm diam
76,47,\nolimits,\mathop{\rm diam
77,48,\def,\mathop{\rm vol
78,48,\vol,\mathop{\rm vol
79,48,\mathop,\mathop{\rm vol
80,48,\rm,\mathop{\rm vol
81,48,\nolimits,\mathop{\rm vol
82,49,\def,\mathop{\rm eucl
83,49,\eucl,\mathop{\rm eucl
84,49,\mathop,\mathop{\rm eucl
85,49,\rm,\mathop{\rm eucl
86,49,\nolimits,\mathop{\rm eucl
87,50,\def,\mathop{\rm dim
88,50,\dim,\mathop{\rm dim
89,50,\mathop,\mathop{\rm dim
90,50,\rm,\mathop{\rm dim
91,50,\nolimits,\mathop{\rm dim
92,51,\def,\mathop{\rm Vol
93,51,\vol,\mathop{\rm Vol
94,51,\mathop,\mathop{\rm Vol
