,line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,10,\usepackage
8,11,\usepackage
9,12,\hypersetup
10,18,\hypersetup
11,21,\setcounter
12,29,\newtheorem
13,30,\newtheorem
14,31,\newtheorem
15,32,\newtheorem
16,33,\newtheorem
17,35,\theoremstyle
18,36,\newtheorem
19,37,\newtheorem
20,38,\newtheorem
21,39,\newtheorem
22,40,\newtheorem
23,41,\newtheorem
24,44,\newcommand
25,44,\kar
26,44,\rm
27,45,\newcommand
28,45,\R
29,45,\mathbb
30,46,\newcommand
31,46,\Rep
32,46,\rm
33,47,\newcommand
34,47,\SI
35,47,\rm
36,48,\newcommand
37,48,\SO
38,48,\rm
39,49,\newcommand
40,49,\ST
41,49,\rm
42,50,\newcommand
43,50,\PD
44,50,\rm
45,51,\newcommand
46,51,\mlt
47,51,\rm
48,52,\newcommand
49,52,\Lie
50,52,\rm
51,54,\newcommand
52,54,\B
53,54,\mathcal
54,55,\newcommand
55,55,\C
56,55,\mathbb
57,56,\newcommand
58,56,\N
59,56,\mathbb
60,57,\newcommand
61,57,\F
62,57,\mathbb
63,58,\newcommand
64,58,\Q
65,58,\mathbb
66,59,\newcommand
67,59,\Z
68,59,\mathbb
69,60,\newcommand
70,60,\tnr
71,60,\operatorname
72,61,\newcommand
73,61,\tnrace
74,61,\operatorname
75,62,\newcommand
76,62,\Mat
77,62,\operatorname
78,63,\newcommand
79,63,\GL
80,63,\operatorname
81,64,\newcommand
82,64,\SL
83,64,\operatorname
84,65,\newcommand
85,65,\Mod
86,65,\operatorname
87,67,\newcommand
88,67,\VV
89,67,\mathbb
90,69,\newcommand
91,69,\nullcone
92,69,\mathcal
93,70,\newcommand
94,70,\Sym
95,70,\operatorname
96,72,\newcommand
97,72,\Sym
98,74,\newcommand
99,74,\rk
100,74,\operatorname
101,75,\newcommand
102,75,\g
103,75,\mathfrak
104,76,\newcommand
105,76,\n
106,76,\mathfrak
107,77,\newcommand
108,77,\h
109,77,\mathfrak
110,78,\newcommand
111,78,\tn
112,78,\mathfrak
113,79,\newcommand
114,79,\sln
115,79,\mathfrak
116,80,\newcommand
117,80,\adaptable
118,81,\newcommand
