,Line num,Command,Notes
0,2,\documentclass,amsart
1,3,\usepackage,amssymb
2,4,\usepackage,latexsym
3,5,\usepackage,exscale
4,6,\usepackage,amsfonts
5,7,\usepackage,graphicx
6,8,\usepackage,mathrsfs
7,9,\usepackage,"amsmath,amscd,amsthm"
8,10,\usepackage,"bbm,pifont"
9,11,\usepackage,enumerate
10,12,\usepackage,color
11,13,\usepackage,amssymb
12,14,\usepackage,latexsym
13,15,\usepackage,exscale
14,16,\usepackage,inputenc
15,17,\usepackage,fontenc
16,18,\usepackage,dsfont
17,19,\usepackage,eucal
18,20,\allowdisplaybreaks,N/A
19,21,\DeclareMathAlphabet,N/A
20,21,\mathcalbf,N/A
21,22,\DeclareMathAlphabet,N/A
22,22,\EuScript,N/A
23,23,\DeclareMathAlphabet,N/A
24,23,\EuScriptBold,N/A
25,24,\headheight,N/A
26,25,\topmargin,N/A
27,26,\textheight,N/A
28,27,\textwidth,N/A
29,28,\oddsidemargin,N/A
30,29,\evensidemargin,N/A
31,30,\renewcommand,N/A
32,30,\thefootnote,N/A
33,30,\fnsymbol,N/A
34,31,\numberwithin,N/A
35,32,\newtheorem,N/A
36,33,\newtheorem,N/A
37,34,\newtheorem,N/A
38,35,\newtheorem,N/A
39,36,\newtheorem,N/A
40,37,\newtheorem,N/A
41,38,\newtheorem,N/A
42,39,\newtheorem,N/A
43,40,\DeclareMathOperator,N/A
44,40,\esssup,N/A
45,41,\newcommand,\supp -> \operatorname{supp}
46,42,\newcommand,\diam -> \operatorname{diam}
47,43,\def,\mathop{\rm ess\ inf
48,43,\essinf,\mathop{\rm ess\ inf
49,43,\mathop,\mathop{\rm ess\ inf
50,43,\rm,\mathop{\rm ess\ inf
51,44,\def,\mathop{\tt div
52,44,\div,\mathop{\tt div
53,44,\mathop,\mathop{\tt div
54,44,\tt,\mathop{\tt div
55,45,\def,\mathop{\rm Int
56,45,\Int,\mathop{\rm Int
57,45,\mathop,\mathop{\rm Int
58,45,\rm,\mathop{\rm Int
59,46,\def,\mathop{\rm supp
60,46,\supp,\mathop{\rm supp
61,46,\mathop,\mathop{\rm supp
62,46,\rm,\mathop{\rm supp
63,47,\def,{\mathrm{U
64,47,\U,{\mathrm{U
65,47,\mathrm,{\mathrm{U
66,48,\def,{\mathrm{X
67,48,\X,{\mathrm{X
68,48,\mathrm,{\mathrm{X
69,49,\def,{\mathrm{Y
70,49,\Y,{\mathrm{Y
71,49,\mathrm,{\mathrm{Y
72,50,\def,\mathbb R
73,50,\R,\mathbb R
74,50,\mathbb,\mathbb R
75,51,\def,\mathbb N
76,51,\N,\mathbb N
77,51,\mathbb,\mathbb N
78,52,\def,\mathbb C
79,52,\C,\mathbb C
80,52,\mathbb,\mathbb C
