,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,inputenc
2,3,\usepackage,babel
3,4,\usepackage,amssymb
4,5,\usepackage,amsfonts
5,6,\usepackage, mathrsfs 
6,7,\usepackage,multicol
7,8,\usepackage,wrapfig
8,9,\usepackage,stmaryrd
9,10,\usepackage,graphicx
10,11,\usepackage,wrapfig
11,12,\usepackage,amsmath
12,13,\usepackage,amsthm
13,14,\usepackage,amscd
14,15,\usepackage,cite
15,16,\usepackage,tikz
16,17,\usepackage,verbatim
17,18,\usepackage,hyperref
18,19,\newcommand,\Span -> \langle #1 \rangle
19,20,\DeclareMathOperator,N/A
20,20,\Der,N/A
21,21,\DeclareMathOperator,N/A
22,21,\Ker,N/A
23,22,\DeclareMathOperator,N/A
24,22,\spann,N/A
25,23,\DeclareMathOperator,N/A
26,23,\dimm,N/A
27,24,\DeclareMathOperator,N/A
28,24,\Cl,N/A
29,25,\DeclareMathOperator,N/A
30,25,\divisor,N/A
31,26,\DeclareMathOperator,N/A
32,26,\WDiv,N/A
33,27,\DeclareMathOperator,N/A
34,27,\Spec,N/A
35,28,\DeclareMathOperator,N/A
36,28,\rlv,N/A
37,29,\DeclareMathOperator,N/A
38,29,\cov,N/A
39,30,\DeclareMathOperator,N/A
40,30,\env,N/A
41,31,\DeclareMathOperator,N/A
42,31,\id,N/A
43,32,\DeclareMathOperator,N/A
44,32,\Aut,N/A
45,33,\DeclareMathOperator,N/A
46,33,\Sing,N/A
47,34,\DeclareMathOperator,N/A
48,34,\Reg,N/A
49,35,\DeclareMathOperator,N/A
50,35,\Ann,N/A
51,36,\DeclareMathOperator,N/A
52,36,\NNA,N/A
53,37,\DeclareMathOperator,N/A
54,37,\NA,N/A
55,38,\DeclareMathOperator,N/A
56,38,\Stab,N/A
57,39,\DeclareMathOperator,N/A
58,39,\rank,N/A
59,40,\def,\mathbb R
60,40,\R,\mathbb R
61,40,\mathbb,\mathbb R
62,41,\def,\mathbb A
63,41,\A,\mathbb A
64,41,\mathbb,\mathbb A
65,42,\def,\mathbb N
66,42,\N,\mathbb N
67,42,\mathbb,\mathbb N
68,43,\def,\mathbb Z
69,43,\Z,\mathbb Z
70,43,\mathbb,\mathbb Z
71,44,\def,\mathbb C
72,44,\C,\mathbb C
73,44,\mathbb,\mathbb C
74,45,\def,\mathbb G
75,45,\G,\mathbb G
76,45,\mathbb,\mathbb G
77,46,\def,\mathbb G_a
78,46,\Ga,\mathbb G_a
79,46,\mathbb,\mathbb G_a
80,47,\def,\mathbb Q
81,47,\Q,\mathbb Q
82,47,\mathbb,\mathbb Q
83,48,\def,\mathbb K
84,48,\K,\mathbb K
85,48,\mathbb,\mathbb K
86,49,\def,\mathbb P
87,49,\P,\mathbb P
88,49,\mathbb,\mathbb P
89,50,\def,\varepsilon
90,50,\varepsilon,\varepsilon
91,51,\def,\mathcal N
92,51,\lN,\mathcal N
93,51,\mathcal,\mathcal N
94,52,\def,\rightarrow
95,52,\ra,\rightarrow
96,52,\rightarrow,\rightarrow
97,53,\def,\Rightarrow
98,53,\RA,\Rightarrow
99,53,\Rightarrow,\Rightarrow
100,54,\def,\Leftrightarrow
101,54,\LRA,\Leftrightarrow
102,54,\Leftrightarrow,\Leftrightarrow
103,55,\def,\frac\partial{\partial{x
104,55,\ddx,\frac\partial{\partial{x
105,55,\frac,\frac\partial{\partial{x
106,55,\partial,\frac\partial{\partial{x
107,55,\partial,\frac\partial{\partial{x
108,56,\def,\frac\partial{\partial{y
109,56,\ddy,\frac\partial{\partial{y
110,56,\frac,\frac\partial{\partial{y
111,56,\partial,\frac\partial{\partial{y
112,56,\partial,\frac\partial{\partial{y
113,57,\let,N/A
114,57,\oldemptyset,N/A
115,57,\emptyset,N/A
116,58,\let,N/A
117,58,\emptyset,N/A
118,58,\varnothing,N/A
