,line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,9,\usepackage
9,10,\usepackage
10,11,\usepackage
11,12,\usepackage
12,15,\usepackage
13,17,\newtheorem
14,18,\newtheorem
15,19,\newtheorem
16,20,\newtheorem
17,21,\newtheorem
18,22,\newtheorem
19,23,\newtheorem
20,24,\newtheorem
21,25,\newtheorem
22,26,\newtheorem
23,28,\newenvironment
24,28,\noindent
25,28,\textbf
26,28,\hfill
27,29,\Box
28,29,\vspace
29,31,\newtheorem
30,33,\newtheorem
31,35,\newtheorem
32,37,\newtheorem
33,39,\newtheorem
34,41,\newtheorem
35,42,\newtheorem
36,47,\setlength
37,47,\textwidth
38,47,\setlength
39,47,\textheight
40,48,\setlength
41,48,\topmargin
42,48,\setlength
43,48,\oddsidemargin
44,49,\setlength
45,49,\evensidemargin
46,50,\renewcommand
47,50,\baselinestretch
48,57,\newcommand
49,57,\cO
50,57,\mathcal
51,58,\newcommand
52,58,\cX
53,58,\mathcal
54,59,\newcommand
55,59,\cJ
56,59,\mathcal
57,60,\newcommand
58,60,\cD
59,60,\mathcal
60,61,\newcommand
61,61,\cK
62,61,\mathcal
63,63,\newcommand
64,63,\bE
65,63,\mathbf
66,65,\newcommand
67,65,\F
68,65,\mathbb
69,66,\newcommand
70,66,\Z
71,66,\mathbb
72,67,\newcommand
73,67,\D
74,67,\mathbb
75,68,\newcommand
76,68,\ele
77,68,\mathbb
78,69,\newcommand
79,69,\bP
80,69,\mathbb
81,70,\newcommand
82,70,\N
83,70,\mathbb
84,72,\def
85,72,\Bb
86,72,\mathcal
87,74,\def
88,74,\C
89,74,\mathbb
90,76,\def
91,76,\Z
92,76,\mathbb
93,78,\def
94,78,\bchi
95,78,\boldsymbol
96,78,\chi
97,80,\setcounter
98,82,\newtheorem
99,83,\newtheorem
100,85,\newtheorem
101,86,\newtheorem
102,87,\newtheorem
103,88,\newtheorem
104,89,\newtheorem
105,90,\newtheorem
106,91,\newenvironment
107,91,\noindent
108,91,\bf
109,91,\hfill
110,91,\square
111,93,\def
112,93,\disc
113,93,\rm
114,94,\def
115,94,\mdc
116,94,\rm
117,95,\def
