,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,amssymb
2,3,\usepackage,amsfonts
3,4,\usepackage,amscd
4,5,\usepackage,fontenc
5,6,\addtolength,N/A
6,6,\textheight,N/A
7,6,\addtolength,N/A
8,6,\textwidth,N/A
9,7,\addtolength,N/A
10,7,\voffset,N/A
11,7,\addtolength,N/A
12,7,\hoffset,N/A
13,8,\linespread,1.1
14,9,\usepackage,xy
15,10,\input,N/A
16,11,\xyoption,all
17,12,\usepackage,pdflscape
18,13,\usepackage,hyperref
19,14,\usepackage,babel
20,15,\def,\mathbb{A
21,15,\A,\mathbb{A
22,15,\mathbb,\mathbb{A
23,16,\def,\mathbb{B
24,16,\B,\mathbb{B
25,16,\mathbb,\mathbb{B
26,17,\def,\mathbb{I
27,17,\I,\mathbb{I
28,17,\mathbb,\mathbb{I
29,18,\def,\mathbb{R
30,18,\R,\mathbb{R
31,18,\mathbb,\mathbb{R
32,19,\def,\mathbb{C
33,19,\C,\mathbb{C
34,19,\mathbb,\mathbb{C
35,20,\def,\mathbb{F
36,20,\F,\mathbb{F
37,20,\mathbb,\mathbb{F
38,21,\def,\mathbb{M
39,21,\M,\mathbb{M
40,21,\mathbb,\mathbb{M
41,22,\def,\mathfrak{T
42,22,\T,\mathfrak{T
43,22,\mathfrak,\mathfrak{T
44,23,\def,\mathbb{P
45,23,\P,\mathbb{P
46,23,\mathbb,\mathbb{P
47,24,\def,\mathcal{S
48,24,\S,\mathcal{S
49,24,\mathcal,\mathcal{S
50,25,\def,\triangleleft
51,25,\ns,\triangleleft
52,25,\triangleleft,\triangleleft
53,26,\def,\mathrm{Gal
54,26,\Gal,\mathrm{Gal
55,26,\mathrm,\mathrm{Gal
56,27,\def,\mathrm{Hom
57,27,\Hom,\mathrm{Hom
58,27,\mathrm,\mathrm{Hom
59,28,\def,\mathrm{Char
60,28,\Char,\mathrm{Char
61,28,\mathrm,\mathrm{Char
62,29,\def,\mathrm{ord
63,29,\lrird,\mathrm{ord
64,29,\mathrm,\mathrm{ord
65,30,\def,\mathrm{GF
66,30,\GF,\mathrm{GF
67,30,\mathrm,\mathrm{GF
68,31,\def,\mathrm{PSL
69,31,\PSL,\mathrm{PSL
70,31,\mathrm,\mathrm{PSL
71,32,\def,\mathrm{SL
72,32,\SL,\mathrm{SL
73,32,\mathrm,\mathrm{SL
74,33,\def,\mathrm{PGL
75,33,\PGL,\mathrm{PGL
76,33,\mathrm,\mathrm{PGL
77,34,\def,\mathrm{GL
78,34,\GL,\mathrm{GL
79,34,\mathrm,\mathrm{GL
80,35,\def,\mathfrak{s
81,35,\cs,\mathfrak{s
82,35,\mathfrak,\mathfrak{s
83,36,\def,\mathcal{S
84,36,\sort,\mathcal{S
85,36,\mathcal,\mathcal{S
86,37,\def,\mathrm{cc
87,37,\cc,\mathrm{cc
88,37,\mathrm,\mathrm{cc
89,38,\let,N/A
90,38,\myacute,N/A
91,39,\def,\mathrm{\Gamma L
92,39,\gL,\mathrm{\Gamma L
93,39,\mathrm,\mathrm{\Gamma L
94,40,\def,\mathrm{P\Gamma L
95,40,\PgL,\mathrm{P\Gamma L
96,40,\mathrm,\mathrm{P\Gamma L
97,41,\def,\mathcal{O
98,41,\lri,\mathcal{O
99,41,\mathcal,\mathcal{O
100,42,\def,\mathrm{Aut
101,42,\Aut,\mathrm{Aut
102,42,\mathrm,\mathrm{Aut
103,43,\def,\mathrm{Sp
104,43,\Sp,\mathrm{Sp
105,43,\mathrm,\mathrm{Sp
106,44,\def,\mathrm{Ab
107,44,\Ab,\mathrm{Ab
108,44,\mathrm,\mathrm{Ab
